structure,type,seas_adj,date,value
ks_i63_index_q,index,na,2020-04-01,-46.87648756061674
ks_i63_index_q,index,na,2020-07-01,-22.73670445989952
ks_i63_index_q,index,na,2020-10-01,-24.786316803619954
ks_i63_index_q,index,na,2021-01-01,-20.68702457867626
ks_i63_index_q,index,na,2021-04-01,-14.338393959653473
ks_i63_index_q,index,na,2021-07-01,-2.220658318419048
ks_i63_index_q,index,na,2021-10-01,-8.155173934837467
ks_i63_index_q,index,na,2022-01-01,-10.576366289315967
ks_i63_index_q,index,na,2022-04-01,-35.483333498578176
ks_i63_index_q,index,na,2022-07-01,-51.47316138109187
ks_i63_index_q,index,na,2022-10-01,-58.31226984626269
ks_i63_index_q,index,na,2023-01-01,-36.98158733236367
ks_i63_index_q,index,na,2023-04-01,-37.47554533022814
ks_i63_index_q,index,na,2023-07-01,-36.7693087860941
ks_i63_index_q,index,na,2023-10-01,-51.636369347288664
ks_i63_index_q,index,na,2024-01-01,-41.045342283607475
ks_i63_index_q,index,na,2024-04-01,-38.063776552820734
ks_i63_index_q,index,na,2024-07-01,-32.40466139425182
ks_i63_index_q,index,na,2024-10-01,-37.009657768923496
ks_i63_index_q,index,na,2025-01-01,-29.278117601585897
ks_i63_index_q,index,na,2025-04-01,-42.39787574946047
ks_i11_econ_hist_q,index,na,1972-10-01,-2.2673922216512254
ks_i11_econ_hist_q,index,na,1973-01-01,-9.417252165628817
ks_i11_econ_hist_q,index,na,1973-04-01,-7.448112578463478
ks_i11_econ_hist_q,index,na,1973-07-01,-8.68532976703975
ks_i11_econ_hist_q,index,na,1973-10-01,-26.961388056458095
ks_i11_econ_hist_q,index,na,1974-01-01,-35.97477265931952
ks_i11_econ_hist_q,index,na,1974-04-01,-62.942597787748625
ks_i11_econ_hist_q,index,na,1974-07-01,-56.06087735764111
ks_i11_econ_hist_q,index,na,1974-10-01,-72.53590946461398
ks_i11_econ_hist_q,index,na,1975-01-01,-73.13884015287556
ks_i11_econ_hist_q,index,na,1975-04-01,-104.44485741062537
ks_i11_econ_hist_q,index,na,1975-07-01,-86.79196624339966
ks_i11_econ_hist_q,index,na,1975-10-01,-99.64989484101959
ks_i11_econ_hist_q,index,na,1976-01-01,-101.32671950987877
ks_i11_econ_hist_q,index,na,1976-04-01,-53.02795417839268
ks_i11_econ_hist_q,index,na,1976-07-01,2.820843072466422
ks_i11_econ_hist_q,index,na,1976-10-01,-3.8407635056486953
ks_i11_econ_hist_q,index,na,1977-01-01,-42.312490260866916
ks_i11_econ_hist_q,index,na,1977-04-01,-4.484876848638115
ks_i11_econ_hist_q,index,na,1977-07-01,20.60578930902556
ks_i11_econ_hist_q,index,na,1977-10-01,21.452651351333525
ks_i11_econ_hist_q,index,na,1978-01-01,10.676486117085844
ks_i11_econ_hist_q,index,na,1978-04-01,9.453321704945054
ks_i11_econ_hist_q,index,na,1978-07-01,16.890494813759954
ks_i11_econ_hist_q,index,na,1978-10-01,-26.438870628965073
ks_i11_econ_hist_q,index,na,1979-01-01,-10.94870425263646
ks_i11_econ_hist_q,index,na,1979-04-01,14.40724943544545
ks_i11_econ_hist_q,index,na,1979-07-01,-1.1761873655439719
ks_i11_econ_hist_q,index,na,1979-10-01,0.3800717226041628
ks_i11_econ_hist_q,index,na,1980-01-01,8.495261677117584
ks_i11_econ_hist_q,index,na,1980-04-01,17.04235870574676
ks_i11_econ_hist_q,index,na,1980-07-01,14.233921222386677
ks_i11_econ_hist_q,index,na,1980-10-01,-1.4272189430374544
ks_i11_econ_hist_q,index,na,1981-01-01,-6.108893857270509
ks_i11_econ_hist_q,index,na,1981-04-01,-26.194177700943612
ks_i11_econ_hist_q,index,na,1981-07-01,-24.625993196287656
