Brand,Model,Preis,Jahr,Kilometer,PS,Getriebe
BMW,220i Coupé M Sport,42890.00,04.2022,19000,184,Automatikgetriebe
BMW,330d xDrive SAG,54800.00,04.2024,18300,286,Automatikgetriebe
BMW,X7 xDrive 48V 40d,89900.00,08.2022,34000,340,Automatikgetriebe
BMW,X7 xDrive M50i,92900.00,11.2022,30800,530,Automatikgetriebe
BMW,430i xDrive Cabrio MSport Pro,61900.00,07.2024,9900,245,Automatikgetriebe
BMW,430i xDrive Cabrio MSport Pro,61900.00,06.2024,9900,245,Automatikgetriebe
BMW,320d xDrive 48V Touring MSport,53900.00,05.2024,22500,201,Automatikgetriebe
BMW,M440i xDrive Cabrio,65900.00,09.2023,19000,385,Automatikgetriebe
BMW,X3 xDrive 30d xLine Steptronic,32990.00,12.2019,95300,265,Automatikgetriebe
BMW,i3s 94Ah,16900.00,08.2020,75000,184,Automatikgetriebe
BMW,JA..... JA.... ERST 3`900 KM !!! CH WAGEN MIT VOLLGARANTIE. 730d xDrive !! TOP AUSSTATTUNG !! NP 125`000.- JETZT 52`900.-,52900.00,06.2017,3900,265,Automatikgetriebe
BMW,430i xDrive Cabrio MSport Pro,49900.00,05.2023,43000,245,Automatikgetriebe
BMW,X6 xDrive 40d Steptronic M-Sportpaket,31900.00,06.2017,110000,313,Automatikgetriebe
BMW,550e xDrive ///M Sportpaket Pro,111911.00,Neues Fahrzeug,8,489,Automatikgetriebe
BMW,i5 M60 xDrive Touring,119900.00,Neues Fahrzeug,8,601,Automatikgetriebe
BMW,M440i xDrive 48V Cabriolet Steptronic,55900.00,05.2021,27500,385,Automatikgetriebe
BMW,120d xDrive ///Pure M Sport,34850.00,06.2024,30400,190,Automatikgetriebe
BMW,X3 xDrive 30e ///M Sport,58900.00,01.2024,21800,292,Automatikgetriebe
BMW,520d 48V M Sport Steptronic,44900.00,05.2024,50000,197,Automatikgetriebe
BMW,420d xDrive 48V Gran Coupé M Sport Steptronic,41900.00,11.2023,28000,190,Automatikgetriebe
BMW,420d xDrive 48V Gran Coupé M Sport Steptronic,41900.00,11.2023,30000,190,Automatikgetriebe
BMW,M440i xDrive 48V Cabriolet Steptronic (CH),42900.00,08.2021,80000,374,Automatikgetriebe
BMW,X7 M50i,74900.00,12.2021,74000,530,Automatikgetriebe
BMW,M240i xDrive Coupé,56900.00,11.2023,12000,374,Automatikgetriebe
BMW,430i xDrive Cabrio M Sport,,05.2024,17800,245,Automatikgetriebe
BMW,M850i xDrive Cabriolet,89900.00,10.2022,37500,530,Automatikgetriebe
BMW,M3 Competition xDrive Touring,,03.2023,18000,510,Automatikgetriebe
